State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2020,State.1,2010
Kentucky,8.0,9.0,12.0,8.0,12.0,14.0,12.0,13.0,11.0,10.0,15.0,14.0,10.0,15.0,16.0,13.0,23.0,11.0,13.0,15.0,13.0,9.0,9.0,18.0,32.8,Kentucky,24.8
Nevada,8.0,6.0,10.0,6.0,7.0,10.0,12.0,11.0,13.0,15.0,15.0,12.0,10.0,8.0,6.0,4.0,4.0,9.0,10.0,9.0,12.0,9.0,12.0,15.0,68.8,Nevada,62.5
Minnesota,8.0,8.0,7.0,7.0,7.0,7.0,10.0,7.0,8.0,9.0,7.0,12.0,12.0,8.0,8.0,6.0,10.0,12.0,12.0,12.0,11.0,9.0,19.0,22.0,40.5,Minnesota,30.3
Wisconsin,8.0,10.0,11.0,12.0,10.0,12.0,12.0,12.0,10.0,8.0,8.0,8.0,11.0,10.0,10.0,9.0,9.0,11.0,15.0,15.0,13.0,12.0,21.0,28.0,37.0,Wisconsin,29.8
Maryland,8.0,8.0,12.0,8.0,9.0,9.0,10.0,7.0,13.0,13.0,17.0,18.0,17.0,15.0,15.0,15.0,18.0,19.0,21.0,20.0,15.0,11.0,25.0,25.0,67.3,Maryland,60.7
Colorado,7.0,8.0,6.0,7.0,10.0,10.0,13.0,12.0,15.0,17.0,19.0,15.0,15.0,17.0,15.0,16.0,16.0,21.0,22.0,22.0,17.0,18.0,31.0,30.0,52.3,Colorado,46.5
Massachusetts,6.0,8.0,10.0,7.0,11.0,12.0,8.0,9.0,13.0,16.0,10.0,10.0,8.0,12.0,13.0,10.0,12.0,10.0,14.0,15.0,12.0,14.0,11.0,13.0,51.6,Massachusetts,40.4
Nebraska,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,8.0,7.0,8.0,9.0,7.0,5.0,5.0,9.0,8.0,6.0,9.0,9.0,12.0,13.0,40.8,Nebraska,31.5
Oklahoma,5.0,4.0,6.0,7.0,11.0,14.0,16.0,13.0,19.0,15.0,23.0,13.0,20.0,17.0,11.0,17.0,6.0,10.0,9.0,10.0,12.0,9.0,13.0,17.0,59.5,Oklahoma,50.6
Oregon,5.0,8.0,6.0,8.0,7.0,7.0,9.0,11.0,7.0,10.0,15.0,15.0,9.0,9.0,9.0,9.0,11.0,18.0,15.0,15.0,11.0,10.0,24.0,23.0,46.1,Oregon,36.8
Montana,4.0,4.0,2.0,3.0,2.0,2.0,5.0,6.0,6.0,12.0,13.0,10.0,12.0,8.0,9.0,6.0,10.0,8.0,7.0,6.0,6.0,4.0,12.0,17.0,30.1,Montana,22.4
Kansas,4.0,4.0,5.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,6.0,3.0,4.0,5.0,3.0,5.0,7.0,4.0,4.0,3.0,2.0,4.0,6.0,10.0,45.4,Kansas,24.8
New Mexico,3.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,63.0,New Mexico,61.4
West Virginia,3.0,5.0,6.0,8.0,9.0,10.0,9.0,7.0,14.0,13.0,13.0,15.0,11.0,10.0,10.0,8.0,4.0,4.0,5.0,4.0,4.0,6.0,9.0,12.0,20.2,West Virginia,13.1
Utah,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,6.0,6.0,4.0,4.0,6.0,4.0,3.0,3.0,3.0,9.0,5.0,4.0,2.0,18.0,20.0,40.7,Utah,33.6
Connecticut,3.0,6.0,8.0,8.0,4.0,4.0,7.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,3.0,2.0,5.0,6.0,6.0,8.0,6.0,7.0,11.0,14.0,55.7,Connecticut,46.4
Delaware,2.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,7.0,3.0,59.6,Delaware,52.2
Iowa,2.0,3.0,3.0,6.0,2.0,3.0,4.0,4.0,8.0,17.0,6.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,12.0,10.0,30.8,Iowa,21.0
South Dakota,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,6.0,3.0,4.0,5.0,7.0,7.0,7.0,4.0,1.0,4.0,8.0,12.0,35.6,South Dakota,27.4
Maine,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,6.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,4.0,9.0,12.0,18.5,Maine,10.8
North Dakota,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,8.0,7.0,32.6,North Dakota,20.6
Hawaii,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,4.0,8.0,9.0,75.1,Hawaii,75.1
Wyoming,1.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,32.4,Wyoming,25.4
Alaska,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,62.8,Alaska,55.7
Rhode Island,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,7.0,10.0,49.4,Rhode Island,39.8
New Hampshire,0.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,6.0,7.0,6.0,6.0,6.0,9.0,10.0,4.0,6.0,6.0,15.0,16.0,23.6,New Hampshire,14.7
Vermont,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,20.2,Vermont,11.0
